periodo,serie,valor
201301,Canasta_alimentaria,2634.91
201302,Canasta_alimentaria,2645.91
201303,Canasta_alimentaria,2676.89
201304,Canasta_alimentaria,2702.55
201305,Canasta_alimentaria,2713.25
201306,Canasta_alimentaria,2773.94
201307,Canasta_alimentaria,2879.6
201308,Canasta_alimentaria,3016.21
201309,Canasta_alimentaria,3090.68
201310,Canasta_alimentaria,3203.54
201311,Canasta_alimentaria,3260.61
201312,Canasta_alimentaria,3354.6
201401,Canasta_alimentaria,3446.27
201402,Canasta_alimentaria,3705.11
201403,Canasta_alimentaria,3834.73
201404,Canasta_alimentaria,3884.04
201405,Canasta_alimentaria,3916.44
201406,Canasta_alimentaria,3992.78
201407,Canasta_alimentaria,4035.07
201408,Canasta_alimentaria,4111.16
201409,Canasta_alimentaria,4202.59
201410,Canasta_alimentaria,4299.08
201411,Canasta_alimentaria,4354.29
201412,Canasta_alimentaria,4406.42
201501,Canasta_alimentaria,4535.51
201502,Canasta_alimentaria,4569.9
201503,Canasta_alimentaria,4624.77
201504,Canasta_alimentaria,4693.79
201505,Canasta_alimentaria,4804.27
201506,Canasta_alimentaria,4791.7
201507,Canasta_alimentaria,4927.82
201508,Canasta_alimentaria,5074.16
201509,Canasta_alimentaria,5186.32
201510,Canasta_alimentaria,5189.62
201511,Canasta_alimentaria,5245.8
201512,Canasta_alimentaria,5467.03
201601,Canasta_alimentaria,5741.4
201602,Canasta_alimentaria,5994.01
201603,Canasta_alimentaria,6256.86
201604,Canasta_alimentaria,6319.39
201605,Canasta_alimentaria,6622.1
201606,Canasta_alimentaria,6887.83
201607,Canasta_alimentaria,7162.72
201608,Canasta_alimentaria,7130.92
201609,Canasta_alimentaria,7258.77
201610,Canasta_alimentaria,7368.35
201611,Canasta_alimentaria,7385.74
201612,Canasta_alimentaria,7323.37
201701,Canasta_alimentaria,7434.73
201702,Canasta_alimentaria,7626.42
201703,Canasta_alimentaria,7845.44
201704,Canasta_alimentaria,7943.62
201705,Canasta_alimentaria,8090.38
201706,Canasta_alimentaria,8113.09
201707,Canasta_alimentaria,8163.72
201708,Canasta_alimentaria,8415.85
201709,Canasta_alimentaria,8563.54
201710,Canasta_alimentaria,8728.88
201711,Canasta_alimentaria,8846.87
201712,Canasta_alimentaria,8847.53
201801,Canasta_alimentaria,9093.52
201802,Canasta_alimentaria,9285.01
201803,Canasta_alimentaria,9494.81
201804,Canasta_alimentaria,9592.64
201805,Canasta_alimentaria,9926.43
201806,Canasta_alimentaria,10352.18
201807,Canasta_alimentaria,10770.95
201808,Canasta_alimentaria,11294.94
201809,Canasta_alimentaria,11797.52
201810,Canasta_alimentaria,12659.23
201811,Canasta_alimentaria,13063.39
201812,Canasta_alimentaria,13193.82
201901,Canasta_alimentaria,13708
201902,Canasta_alimentaria,14331.04
201903,Canasta_alimentaria,15073.14
201904,Canasta_alimentaria,15432.03
201905,Canasta_alimentaria,15827.16
201906,Canasta_alimentaria,16205.36
201907,Canasta_alimentaria,16722.38
201908,Canasta_alimentaria,17414.56
201909,Canasta_alimentaria,18342.66
201910,Canasta_alimentaria,18692.42
201911,Canasta_alimentaria,19767.6
201912,Canasta_alimentaria,20372.37
202001,Canasta_alimentaria,21251.02
202002,Canasta_alimentaria,21651.86
202003,Canasta_alimentaria,22642.54
202004,Canasta_alimentaria,23311.41
202005,Canasta_alimentaria,23559.85
202006,Canasta_alimentaria,23846.32
202007,Canasta_alimentaria,24047.63
202008,Canasta_alimentaria,24770.2
202009,Canasta_alimentaria,25816.59
202010,Canasta_alimentaria,27365.83
202011,Canasta_alimentaria,27918.88
202012,Canasta_alimentaria,28821.87
202101,Canasta_alimentaria,30259.06
202102,Canasta_alimentaria,31873.33
202103,Canasta_alimentaria,32813.67
202104,Canasta_alimentaria,34150.7
202105,Canasta_alimentaria,35272.06
202106,Canasta_alimentaria,36332.18
202107,Canasta_alimentaria,37601.14
202108,Canasta_alimentaria,37991.1
202109,Canasta_alimentaria,39194.48
202110,Canasta_alimentaria,40898.28
202111,Canasta_alimentaria,41473.49
202112,Canasta_alimentaria,42708.49
202201,Canasta_alimentaria,45738.04
202202,Canasta_alimentaria,50258.47
202203,Canasta_alimentaria,53029.72
202204,Canasta_alimentaria,55749.2
202205,Canasta_alimentaria,57991.08
202206,Canasta_alimentaria,61017.66
202207,Canasta_alimentaria,65331.45
202208,Canasta_alimentaria,70083.06
202209,Canasta_alimentaria,75357.26
202210,Canasta_alimentaria,81754.34
202211,Canasta_alimentaria,84262.15
202212,Canasta_alimentaria,88528.19
202301,Canasta_alimentaria,95635.34
202302,Canasta_alimentaria,104213.95
202303,Canasta_alimentaria,114427.14
202304,Canasta_alimentaria,127818.22
202305,Canasta_alimentaria,135339.11
202306,Canasta_alimentaria,140749.33
202307,Canasta_alimentaria,147630.75
202308,Canasta_alimentaria,169291.67
202309,Canasta_alimentaria,195218.56
202310,Canasta_alimentaria,210299.33
202311,Canasta_alimentaria,239396.08
202312,Canasta_alimentaria,304664.13
202401,Canasta_alimentaria,367822.74
202402,Canasta_alimentaria,419843.8
202403,Canasta_alimentaria,465111.34
202404,Canasta_alimentaria,495583.12
202405,Canasta_alimentaria,529194.74
202406,Canasta_alimentaria,543225.13
202407,Canasta_alimentaria,566235.32
202408,Canasta_alimentaria,581174.52
